Firma,Name,Fullname,Inhaltsstoffe,Hautzustand,Anwendung,Kat.,Da?,Menge,Preis,Link
Catrice,Sleep Oil ,Youth Repairing Sleep Oil ,Isopropyl Myristate; Squalane; Glycine Soja Oil; Caprylic/Capric Triglyceride; Retinol; Tocopheryl Acetate; Algae Extract.,Hautbild; trockene Haut,täglich; abends,Serum,Nein,30 ml,7.45,https://www.dm.de/catrice-gesichtsoel-youth-repairing-sleep-p4059729330833.html
CeraVe,Creme,Feuchtigkeitscreme,Aqua; Glycerin; Cetearyl Alcohol; Caprylic/Capric Triglyceride; Cetyl Alcohol; Ceteareth-20; Petrolatum; Dimethicone; Phenoxyethanol; Behentrimonium Methosulfate; Potassium Phosphate; Ethylhexylglycerin; Sodium Lauroyl Lactylate; Disodium Edta; Dipotassium Phosphate; Ceramide Np; Ceramide Ap; Phytosphingosine; Cholesterol; Xanthan Gum; Carbomer; Sodium Hyaluronate; Tocopherol; Ceramide Eop,trockene Haut,täglich; morgens,Creme,Ja,454 g,15.9,https://www.docmorris.de/cerave-feuchtigkeitscreme/14017642
Cetaphil,Creme,Feuchtigkeitscreme,Aqua; Glycerin; Petrolatum; Dicaprylyl Ether; Dimethicone; Glyceryl Stearate; Cetyl Alcohol; Helianthus Annuus Seed Oil; PEG-30 Stearate; Panthenol; Niacinamide; Prunus Amygdalus Dulcis Oil; Tocopherol; Tocopheryl Acetate; Pantolactone; Dimethiconol; Acrylates/C10-30 Alkyl Acrylate Crosspolymer; Carbomer; Propylene Glycol; BHT; Disodium EDTA; Benzyl Alcohol; Phenoxyethanol; Sodium Hydroxide; Citric Acid. FIL 1765.V00,Allrounder,reichhaltig; morgens,Creme,Nein,85 g,9.95,https://www.docmorris.de/cetaphil-feuchtigkeitscreme/02200559?from=2W829&gclid=EAIaIQobChMIjYuut77O-wIVBmIYCh2IUQwKEAQYBCABEgKMZPD_BwE&et_uk=b07592e9bd3844ecb3a4b5886c69abc8
Clinique,Take The Day Off,Take The Day Off Cleansing Balm,Ethylhexyl Palmitate; Carthamus Tinctorius (Safflower) Seed Oil; Caprylic/Capric Triglyceride; Sorbeth-30 Tetraoleate; Polyethylene; Peg-5 Glyceryl Triisostearate; Water\Aqua\Eau; Tocopherol; Phenoxyethanol,Michschaut; trockene Haut; ölige Haut,täglich; abends,Cleanser,Ja,125 g,36,https://www.clinique.de/product/1673/6424/pflege/reingung-makeup-remover/take-the-day-off-cleansing-balm/reichhaltiger-reinigungsbalsam
colibri skincare,BHA Maske,BHA Maske,Aqua; Glycerin; Cetearyl Alcohol; Glyceryl Stearate Citrate; Octyldodecanol; Glyceryl Stearate; Kaolin; Olus Oil; Polyglyceryl-3 Stearate; 2% Salicylic Acid; Behenyl Alcohol; Caprylic/Capric Triglyceride; Charcoal Powder; Cellulose; Argania Spinosa Kernel Oil; Tocopherol; Maris Sal; Sodium Hyaluronate; Helianthus Annuus Seed Oil; Citric Acid; Sodium Levulinate; Sodium Anisate; Xanthan Gum,Allrounder,Special; 2-3/Woche; abends,Peeling/Maske,Ja,150 ml,22.95,https://colibriskincare.de/products/aktivkohle-gesichtsmaske?currency=EUR&variant=31494638731&utm_medium=cpc&utm_source=google&utm_campaign=Google%20Shopping&trc_gcmp_id=17661069357?utm_campaign=17661069357&gclid=EAIaIQobChMI9uH2yOjM-wIVCKWyCh3N2AJaEAQYASABEgKuS_D_BwE
Eucerin,SPF 50,Oil Control SPF 50,Aqua; Alcohol Denat; Butylene Glycol Dicaprylate-Dicaprate; C12-15 Alkyl Benzoate; Butyl Methoxydibenzoylmethane; Dibutyl Adipate; Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine; Silica; Ethylhexyl Triazone; Phenylbenzimidazole Sulfonic Acid; Diethylamino Hydroxybenzoyl Hexyl Benzoate; Cetearyl Alcohol; Behenyl Alcohol; Silica Dimethyl Silylate; Copernicia Cerifera Cera; Glycyrrhetinic Acid; Glycyrrhiza Inflata Root Extract; Carnitine; Glycerin; Dimethicone; Xanthan Gum; Carrageenan; Sodium Chloride; Sodium Stearoyl Glutamate; Hydroxypropyl Methylcellulose; Sodium Hydroxide; Trisodium EDTA; Phenoxyethanol; Decylene Glycol; Ethylhexylglycerin; Hydroxyacetophenone,Sonnenschutz,Sonnenschutz,Sonnenschutz,Nein,50 ml,15,https://www.docmorris.de/eucerin-oil-control-face-sun-gelcreme-lsf-50/10832664?utm_source=Beiersdorf%20AG%20Eucerin&utm_medium=com_connector&utm_content=10832664&et_uk=c7a97fdedf8b47d4bd66d93a46ad12a7
Eucerin,Aquaphor,Aquaphor Protect & Repair Salbe,Paraffinum Liquidum; Cera Microcristallina; Ceresin; Lanolin Alcohol; Panthenol; Glycerin; Bisabolol,trockene Haut; ,Special,Creme,Ja,45 ml,7.49,https://www.docmorris.de/eucerin-aquaphor-protect-repair-salbe/10779409?from=2W829&gclid=Cj0KCQiAj4ecBhD3ARIsAM4Q_jEC9ba1E1xsZtDwWv7yLXEdqlN4S9pPkguUVSZEXi5NMr6PRfQqMr8aAhgEEALw_wcB
Glysolid,Pflegecreme,Pflegecreme Hautbalsam,Glycerin; Aqua; Cetearyl Alcohol; Decyl Oleate; Ceteareth-12; Allantoin; Dimethicone; Sodium Cetearyl Sulfate; Ceteareth-20; Silica,trockene Haut; gereizte Haut,Special; morgens,Creme,Ja,100 ml,1.55,https://www.dm.de/glysolid-pflegecreme-hautbalsam-p4000196001146.html?wt_mc=pla.google.PflegeParfum.Koerperpflege.Koerperpflege.Glysolid.4000196001146&hc_tid=10219970C4751PPC&gclid=EAIaIQobChMI5MKY2L3O-wIVR_F3Ch3EgA2XEAQYASABEgKKX_D_BwE
Isana,Intensiv Serum,Age Performance Intensiv Serum,Aqua; Glycerin; Panthenol; Hydroxyethylcellulose; Pentylene Glycol; Camellia Sinensis Leaf Extract; Lepidium Sativum Sprout Extract; Aspalathus Linearis Leaf Extract; Sorbitol; Lecithin; Allantoin; Maltodextrin; Sodium Hyaluronate; Lactic Acid; Urea; Sodium Lactate; Serine; Sodium Chloride; Citric Acid; Sodium Hydroxide; Sodium Benzoate; Phenoxyethanol,anspruchsvolle Haut; Spannungsverlust,täglich; morgens,Serum,Ja,30 ml,3.99,https://www.rossmann.de/de/pflege-und-duft-isana-age-performance-intensiv-serum/p/4305615481678
Isana,Balance Serum,Anti Stress; Balance Serum,Aqua; Panthenol; Squalane; Glycerin; Hydroxypropyl Starch Phosphate; C14-22 Alcohols; Ectoin; C12-20 Alkyl Glucoside; Sodium Stearoyl Glutamate; Glucose; Sclerotium Gum; Citric Acid; Ethylhexylglycerin; Phenoxyethanol,Allrounder,täglich; abends,Serum,Nein,30 ml,3.99,https://www.rossmann.de/de/pflege-und-duft-isana-isana-balance-serum/p/4305615892566
La Roche-Posay,CICAPLAST ,CICAPLAST Baume B5+,Aqua; Hydrogenated Polyisobutene; Dimethicone; Glycerin; Butyrospermum Parkii Butter; 5% Panthenol; Zea Mays Starch; Propanediol; Butylene Glycol; Cetyl Peg/Ppg-10/1 Dimethicone; Trihydroxystearin; Centella Asiatica Leaf Extract; Polymnia Sonchifolia Root Juice; Zinc Gluconate; Madecassoside; Manganese Gluconate; Alpha-Glucan Oligosaccharide; Silica; Aluminum Hydroxide; Magnesium Sulfate; Mannose; Capryloyl Glycine; Caprylyl Glycol; Vitreoscilla Ferment; Citric Acid; Trisodium Ethylenediamine Disuccinate; Lactobacillus; Acetylated Glycol Stearate; Maltodextrin; Polyglyceryl-4 Isostearate; Tocopherol; Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate; Ci 77891,gereizte Haut; trockene Haut; empfindliche Haut,Special; Winter,Creme,Nein,100 ml,19.5,https://www.larocheposay.de/cicaplast/cicaplast-baume-b5-plus
Lavazon,Fluid LSF 50,Face Fluid LSF 50,Aqua; C12-15 Alkyl Benzoate; Diethylamino Hydroxybenzoyl Hexyl Benzoate; Dibutyl Adipate; Glycerin; Ethylhexyl Salicylate; Titanium Dioxide (nano); VP/Hexadecene Copolymer; Acrylates Copolymer; Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine; Ethylhexyl Triazone; Silica; Phenylbenzimidazole Sulfonic Acid; Caprylyl Glycol; Diethylhexyl Butamido Triazone; Tocopheryl Acetate; Hydrogen Dimethicone; Sodium Hydroxide; Parfum; Tetrasodium EDTA; Caprylhydroxamic Acid,Sonnenschutz,morgens,Sonnenschutz,Ja,50 ml,2.42,https://www.mueller.de/p/lavozon-face-fluid-lsf-50-2430488/
Mixa,Body Balsam,Panthenol Comfort Body Balsam,Aqua; 7% Glycerin; Petrolatum; Paraffinum Liquidum; Niacinamide; Glyceryl Stearate; Cetyl Alcohol; Peg-40 Stearate; Butyrospermum Parkii Butter; Cetyl Palmitate; Dimethicone; Ascorbyl Palmitate; Chlorhexidine Digluconate; Citric Acid; Coriandrum Sativum Seed Oil; Echium Plantagineum Seed Oil; Glycine Soja Oil; Panthenol; Prunus Armeniaca Kernel Oil; Ribes Nigrum Seed Oil; Sorbitan Tristearate; Tocopherol,Mischhaut; ölige Haut,Special,Creme,Nein,250 ml,3.99,https://www.rossmann.de/de/pflege-und-duft-mixa-panthenol-comfort-body-balsam/p/3600551033082
Neutrogena,Reinigungsgel,Hydro Boost Aqua Reinigungsgel,Aqua; Glycerin; Cocamidopropyl Hydroxysultaine; Sodium Cocoyl Isethionate; Sodium Methyl Cocoyl Taurate; Sodium Hydrolyzed Potato Starch Dodecenylsuccinate; Hydrolyzed Hyaluronic Acid; Ethylhexylglycerin; Linoleamidopropyl PG-dimonium Chloride Phosphate; Polyquaternium-10; Polysorbate 20; Sodium Isethionate; Sodium Lauryl Sulfate; Sodium C14-16 Olefin Sulfonate; Potassium Acrylates Copolymer; Sodium Chloride; Propylene Glycol; Disodium EDTA; Citric Acid; Sodium Hydroxide; Hydroxyacetophenone; Tocopheryl Acetate; Phenoxyethanol; Parfum,Allrounder,täglich; abends,Cleanser,Ja,200 ml,4.99,https://www.rossmann.de/de/pflege-und-duft-neutrogena-hydro-boost-Aqua-reinigungsgel/p/3574661320700
Nivea,Nachtcreme,Beruhigende Nachtcreme,Aqua; Glycerin; Butyrospermum Parkii Butter; Cetearyl Alcohol; Caprylic/Capric Triglyceride; Methylpropanediol; Glyceryl Stearate Citrate; Hydrogenated Coco-Glycerides; Cetearyl Isononanoate; Cocoglycerides; Hydroxypropyl Starch Phosphate; Glycyrrhiza Inflata Root Extract; Vitis Vinifera Seed Oil; Panthenol; Pantolactone; Ethylhexylglycerin; Xanthan Gum; Citric Acid; Phenoxyethanol,empfindliche Haut,täglich,Creme,Ja,50 ml,4.65,https://www.dm.de/nivea-nachtcreme-sensitive-beruhigende-nachtpflege-p4005900935502.html
Nivea Sun,LSF 50,UV Gesicht Sensitiv Sonnencreme LSF 50,Aqua; Homosalate; Alcohol Denat.; Butyl Methoxydibenzoylmethane; Ethylhexyl Salicylate; Butylene Glycol Dicaprylate/Dicaprate; Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine; Ethylhexyl Triazone; Isopropyl Palmitate; Phenylbenzimidazole Sulfonic Acid; Silica; Tapioca Starch; Diethylamino Hydroxybenzoyl Hexyl Benzoate; Behenyl Alcohol; Cetearyl Alcohol; Methylpropanediol; Glycerin; Glycyrrhiza Inflata Root Extract; Tocopheryl Acetate; Sodium Stearoyl Glutamate; Xanthan Gum; Carbomer; Acrylates/C10-30 Alkyl Acrylate Crosspolymer; Sodium Chloride; Sodium Hydroxide; Dimethicone; Trisodium EDTA; Caprylyl Glycol; Ethylhexylglycerin,Sonnenschutz; empfindliche Haut,morgens,Sonnenschutz,Ja,50 ml,11.99,https://www.nivea.de/produkte/uv-gesicht-sensitiv-sonnenschutz-empfindliche-haut-40059005991000001.html?gclid=EAIaIQobChMIn4Lj7rvO-wIV9oKDBx19fAM0EAQYAiABEgLCXfD_BwE
Nø Cosmetics,Peeling Cleanser,AHA/PHA Peeling Cleanser,Aqua; Sodium Carboxymethyl Starch;  Butylene Glycol; Decyl Glucoside; Maltooligosyl Glucoside; Lauryl Glucoside; Gluconolactone; Sodium Lactate; Cocamidopropyl Betaine; Hydrogenated Starch Hydrolysate; Pseudozyma Epicola/Argania Spinosa Kernel Oil/Olive Fruit Oil/Sunflower Seed Oil/ (Angelica Gigas/Licorice/Lithospermum Erythrorhizon) Root Ferment Extract Filtrate; Rosa Centifolia (Cabbage Rose) Flower Extract; Panthenol; Aloe Barbadensis Leaf Juice Powder; Inulin; Polyglyceryl-2 Dipolyhydroxystearate; Glycerin; Lecithin; Xanthan Gum; Sodium Chloride; Coconut Fatty Acid; Sodium Citrate; Propylene Glycol; Sorbic Acid; Sodium Benzoate; Potassium Sorbate; Phenoxyethanol; Lactic Acid,ölige Haut; anspruchsvolle Haut; unreine Haut,abends; abwaschen & Feuchtigkeit,Cleanser,Nein,125 ml,7.95,https://www.no-cosmetics.de/produkt/aha-pha-peeling-cleanser-sanfte-reinigung-und-hauterneuerung-pure-today/
Nø Cosmetics,ALL-IN Barrier,ALL-IN Barrier Cream,Aqua; Butyrospermum Parkii Butter; Panthenol; Cetearyl Alcohol; Simmondsia Chinensis Seed Oil; Dicaprylyl Ether; Glycerin; Glyceryl Stearate; Prunus Armeniaca Kernel Oil; C13-15 Alkane; Propanediol; Pentylene Glycol; Cetearyl Olivate; Argania Spinosa Kernel Oil; DiGlycerin; Ectoin; Ceramide EOP; Ceramide NS; Ceramide NP; Ceramide AS; Ceramide AP; Cholesterol; Hydrogenated Lecithin; Sucrose Distearate; Heterotheca Inuloides Flower Extract; Dipropylene Glycol; Sorbitan Olivate; Sea Water; Laminaria Digitata Extract; Chlorella Vulgaris Extract; Saccharide Isomerate; Xanthan Gum;  Hydroxyacetophenone; Phenoxyethanol; Ethylhexylglycerin; Lactic Acid; Citric Acid,trockene Haut; gereizte Haut,täglich; Winter,Creme,Nein,50 ml,16.95,https://www.no-cosmetics.de/produkt/all-in-barrier-cream-celebrate-today/
Nø Cosmetics,Chemical Peeling,Chemical Peeling Serum,Aloe Barbadensis Leaf Juice; Aqua; 4 % Gluconolactone; Panthenol; Butylene Glycol; 2 % Lactic Acid; Xanthan Gum; Sodium Benzoate; Sodium Hydroxide,ölige Haut; unreine Haut; trockene Haut,2-3/Woche; abends; Sonnenschutz,Peeling/Maske,Nein,20 ml,12.95,https://www.no-cosmetics.de/produkt/chemisches-peeling-serum-aha-pha-sanfte-hauterneuerung-clear-today/
Nø Cosmetics,Hydration Serum,Maximum Hydration Serum,Aqua; Niacinamide; Glycerin; Microcrystalline Cellulose; DiGlycerin; Amylopectin; Lithothamnion Calcareum Extract; Butylene Glycol; Vitis Vinifera Fruit Extract; Acacia Senegal Gum; Xanthan Gum; Phenoxyethanol; Ethylhexylglycerin; Potassium Sorbate; Sodium Benzoate; Pentylene Glycol; Lactic Acid; Citric Acid,ölige Haut; unreine Haut; trockene Haut,täglich; morgens; abends,Serum,Nein,20 ml,14.95,https://www.no-cosmetics.de/produkt/120h-hypersleep-feuchtigkeitsserum-staerkt-die-hautbarriere-rain-tonight/
Nø Cosmetics,Retinol Serum,Retinol Serum,Squalane; Undecane; Tridecane; Simmondsia Chinensis Seed Oil; Dimethyl Isosorbide; 2% Hydroxypinacolone Retinoate; 0.05% Retinol; Daucus Carota Sativa Root Extract; Beta-Carotene; Glycine Soja Oil; Tocopherol; Helianthus Annuus Seed Oil,anspruchsvolle Haut; Spannungsverlust,2-3/Woche; abends,Serum,Ja,20 ml,16.95,https://www.no-cosmetics.de/produkt/retinol-serum-mindert-falten-und-strafft-die-haut-renew-today/
Nø Cosmetics,Pink Power,Pink Power Cream,Aqua; Simmondsia Chinensis Seed Oil; Cetearyl Alcohol; Butyrospermum Parkii Butter; Dicaprylyl Ether; Glycerin; Panthenol; Glyceryl Stearate; Prunus Armeniaca Kernel Oil; Distarch Phosphate; Tapioca Starch; C13-15 Alkane; Brassica Campestris Seed Oil; Pentylene Glycol; Cetearyl Olivate; Argania Spinosa Kernel Oil; DiGlycerin; Sorbitan Olivate; Polygonum Tinctorium Leaf Extract; Lactobacillus Ferment; Squalane; Solanum Lycopersicum Fruit Extract; Ceramide NP; Xanthan Gum; Rosmarinus Officinalis Leaf Extract; Maltodextrin; Hydroxyacetophenone; Lactic Acid,Mischhaut; trockene Haut,reichhaltig; leicht; abends,Creme,Nein,50 g,15.95,https://www.no-cosmetics.de/produkt/hypersense-pink-power-cream-mindert-roetungen-strong-today/
Nø Cosmetics,Slow Aging,Slow Aging Serum,Aqua; Panthenol; Glycerin; Caffeine; Microcrystalline Cellulose; Propanediol; DiGlycerin; Acmella Oleracea Extract; Hydroxypropyl Cyclodextrin; Palmitoyl Tripeptide-38; Dipeptide Diaminobutyroyl Benzylamide Diacetate; Saccharide Isomerate; Acacia Senegal Gum; Xanthan Gum; Phenoxyethanol; Ethylhexylglycerin; Sodium Benzoate; Citric Acid,anspruchsvolle Haut; trockene Haut; Mischhaut; Hauttextus,morgens,Serum,Nein,20 ml,16.95,https://www.no-cosmetics.de/produkt/slow-aging-serum-gegen-hautalterung-und-mimikfaeltchen-proud-today/
ONSKIN by Biotaniqe,Perfecting Serum,Perfecting Serum,Aqua Purificata; Niacinamide; Glycerin; Propanediol; Polyglyceryl-4 Caprate; Zinc PCA; Lactobacillus Ferment Lysate; Leuconostoc/Radish Root Ferment Filtrate; Ethylhexylglycerin; Xanthan Gum; Hydroxyethylcellulose; Phenoxyethanol; Citric Acid; Parfum; Geraniol; Limonene,trockene Haut; Hautbild,täglich; morgens; abends,Serum,Nein,20 ml,6.99,https://www.mueller.de/p/onskin-by-biotaniqe-serum-perfecting-2852467/?itemId=2852467&_pmclid=b_16397663_wp_4754915_k_5422344&gclid=Cj0KCQiAj4ecBhD3ARIsAM4Q_jF9agWVFqjsS86ZCH0w3pE8GDjRHnYT6dZ8SaE0nqqZrSu6S-v_k-oaAlSmEALw_wcB
Sunozon Med,Fluid LSF 50,Sonnenfluid LSF 50,Aqua; Glycerin; C12-15 Alkyl Benzoate; Diethylamino Hydroxybenzoyl Hexyl Benzoate; Diisopropyl Adipate; Ethylhexyl Triazone; Propanediol Dicaprylate/Caprate; Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine; Potassium Cetyl Phosphate; Myristyl Alcohol; Phenoxyethanol; Xanthan Gum; Phenylbenzimidazole Sulfonic Acid; Tocopheryl Acetate; Potassium Hydroxide; Sclerotium Gum; Acacia Senegal Gum; Caprylhydroxamic Acid,Sonnenschutz,morgens,Sonnenschutz,Nein,50 ml,5.49,https://www.rossmann.de/de/pflege-und-duft-sunozon-med-sonnenfluid-lsf-50/p/4305615830988
